reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,bank
133a8521-961b-4eae-b421-aa2e017ab3ca,linda laksanawati,https://play-lh.googleusercontent.com/a-/ALV-UjUS08NJ5ytlmXGQOCM2yeZMVjacMpvR1mLhl5UeoFvDA9k0QAOUcg,0 privasi,1,0,4.6.6,2025-08-14 19:05:02,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.",2025-08-14 19:57:26,4.6.6,BCAMOBILE_REVIEWS
6c518fdf-817d-4e2e-ae57-89d70c3d1bd5,Nia Wati,https://play-lh.googleusercontent.com/a/ACg8ocJxBSys4TMG2XVnn0LualsQAiKqoGDUg0KKrAaI7JTW7-GG2Q=mo,0 privasi,1,0,,2025-08-14 20:39:50,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.",2025-08-14 22:47:49,,BCAMOBILE_REVIEWS
e603fdb7-3368-4cc0-be9f-1a113d1d4e7e,Rida Riwayati,https://play-lh.googleusercontent.com/a/ACg8ocK6UzwitfWdePFOw_wgHEx4iWgT_FXKBELC6S-6loqA830aRg=mo,0 privasi,1,0,,2025-08-15 06:18:07,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.",2025-08-15 18:06:10,,BCAMOBILE_REVIEWS
25227645-4941-4974-a304-15a86f20b237,Sendi Prasijo,https://play-lh.googleusercontent.com/a/ACg8ocLadKHRYMKqDkhVi3yCpitsdZ9zoIydP1vb8JGDM9NH08T8pw=mo,0 privasi,1,0,,2025-08-15 09:44:16,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.",2025-08-15 17:55:19,,BCAMOBILE_REVIEWS
54a94cc7-af51-4ef2-9c23-d0549526df71,ANDELIAN HUMAEROH 05,https://play-lh.googleusercontent.com/a-/ALV-UjVgTwxboKO_kjTOVKlv6s61MkA3CLCcBOpEg4HM8JTy_cs5lGY,0 privasi,1,0,4.6.8,2025-08-15 00:40:32,-,2025-08-19 21:07:47,4.6.8,BCAMOBILE_REVIEWS
3323a9ce-6dfa-4557-a596-7a205591758d,Dafit Andriawan,https://play-lh.googleusercontent.com/a/ACg8ocJxkpwYkJJksI4R_UbxHUA-SWyQDx1FiBjpy-12OgAE_pWesg=mo,0 privasi,1,0,,2025-08-15 00:08:48,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.",2025-08-15 01:09:45,,BCAMOBILE_REVIEWS
f34bebf2-519c-475d-857d-4bd6af15665d,airika aska,https://play-lh.googleusercontent.com/a/ACg8ocLfdLpYC7hUbNY4PgyjxT-lUnE08PYFgeg0S6ciwVEFxtyh5A=mo,0 privasi,1,0,,2025-08-14 20:30:43,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.",2025-08-14 23:24:19,,BCAMOBILE_REVIEWS
cff4b9e3-31f0-404f-bc4f-b7f657c2575e,Taryono Taryono,https://play-lh.googleusercontent.com/a/ACg8ocIi1idgENrQBBMh_ttCca412B0NfqyOyj6HTSXNZ0cx0TWwrg=mo,Ada virusnya,1,0,,2024-02-16 17:42:35,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan Twitter @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.
",2024-02-16 19:04:29,,BCAMOBILE_REVIEWS
468bf6d7-86ef-482b-abaa-3f52e0ecc7c7,Kelvin Imanuel,https://play-lh.googleusercontent.com/a-/ALV-UjVMk-6EAJvVOvivA0q26x0QhKFQmEA2Cpke2GykWqBKgKhCpp9d,Ada virusnya,1,0,4.2.4,2024-02-24 23:35:44,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.
",2024-02-25 00:50:41,4.2.4,BCAMOBILE_REVIEWS
f950845e-305e-4de0-8df2-b24a253be5ab,Vatrisia A Sasa,https://play-lh.googleusercontent.com/a/ACg8ocLUbHaMtSLj9Z8_VAksCTxyexoV3i243M6UXi425ajruiWmsA=mo,Aman,3,0,1.2.0,2023-03-27 16:25:34,"Halo Ibu Sasa, terima kasih ats review yg tlh diberikan. Smg dpt trs menikmati kemudahan dan kenyamanan menggunakan Livin' by Mandiri (logo kuning). Yuk transaksi lebih cepat dengan mengaktifkan menu Instant Access, Ibu dpt Top Up E-Money, Bayar atau Transfer, Tarik Tunai Tanpa Kartu di halaman login secepat kilat. Tks~Rady",2023-03-27 20:17:30,1.2.0,LIVIN_MANDIRI_REVIEWS
